Supplier ID,MAXIMO ITEM#,Tag #,Item,Type,Desription
1509113,541451,"BF-01A10 12""",Valve,BALL,"VALVE,BALL, 12"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541452,"BF-01A10 14""",Valve,BALL,"VALVE,BALL, 14"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541453,"BF-01A10 18""",Valve,BALL,"VALVE,BALL, 18"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541454,"BF-01A10 2""",Valve,BALL,"VALVE,BALL, 2"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541455,"BF-01A10 20""",Valve,BALL,"VALVE,BALL, 20"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541456,"BF-01A10 2-1/2""",Valve,BALL,"VALVE,BALL, 2-1/2"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541457,"BF-01A10 24""",Valve,BALL,"VALVE,BALL, 24"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541458,"BF-01A10 3""",Valve,BALL,"VALVE,BALL, 3"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541459,"BF-01A10 3-1/2""",Valve,BALL,"VALVE,BALL, 3-1/2"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541460,"BF-01A10 4""",Valve,BALL,"VALVE,BALL, 4"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,540220,"BF-01A10 4-1/2""",Valve,BALL,"VALVE,BALL, 4-1/2"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541461,"BF-01A10 5""",Valve,BALL,"VALVE,BALL, 5"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541462,"BF-01A10 6""",Valve,BALL,"VALVE,BALL, 6"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
